player_id,direction,origin_league,destination_league,origin_season,destination_season,origin_team,destination_team,seasons_gap,player_age_at_migration
11,EL_to_NBA,EuroLeague,NBA,2014/15,2016/17,Unicaja Malaga,NYK,1,27
11,EL_to_NBA,EuroLeague,NBA,2015/16,2016/17,Unicaja Malaga,NYK,0,27
11,NBA_to_EL,NBA,EuroLeague,2016/17,2017/18,NYK,EA7 Emporio Armani Milan,0,28
11,NBA_to_EL,NBA,EuroLeague,2017/18,2018/19,NYK,EA7 Emporio Armani Milan,0,29
12,EL_to_NBA,EuroLeague,NBA,2002/03,2004/05,Maccabi Rapyd Tel Aviv,SAS,1,22
12,NBA_to_EL,NBA,EuroLeague,2015/16,2017/18,TOT,Zalgiris Kaunas,1,35
12,NBA_to_EL,NBA,EuroLeague,2016/17,2017/18,DET,Zalgiris Kaunas,0,35
19,EL_to_NBA,EuroLeague,NBA,2012/13,2014/15,Unicaja Malaga,TOT,1,25
19,EL_to_NBA,EuroLeague,NBA,2013/14,2014/15,Unicaja Malaga,TOT,0,25
19,NBA_to_EL,NBA,EuroLeague,2014/15,2015/16,TOT,BC Khimki,0,26
23,NBA_to_EL,NBA,EuroLeague,2015/16,2017/18,MIN,Valencia Basket,1,31
23,NBA_to_EL,NBA,EuroLeague,2016/17,2017/18,ORL,Valencia Basket,0,31
59,NBA_to_EL,NBA,EuroLeague,2011/12,2013/14,GSW,Crvena Zvezda Meridianbet Belgrade,1,24
59,NBA_to_EL,NBA,EuroLeague,2012/13,2013/14,TOT,Crvena Zvezda Meridianbet Belgrade,0,24
64,EL_to_NBA,EuroLeague,NBA,2013/14,2015/16,Baskonia Vitoria-Gasteiz,UTA,1,26
64,EL_to_NBA,EuroLeague,NBA,2014/15,2015/16,FC Barcelona,UTA,0,26
64,NBA_to_EL,NBA,EuroLeague,2015/16,2016/17,UTA,Galatasaray Spor Kulubu,0,27
75,EL_to_NBA,EuroLeague,NBA,2011/12,2013/14,Olympiacos Piraeus,ATL,1,31
75,EL_to_NBA,EuroLeague,NBA,2012/13,2013/14,Olympiacos Piraeus,ATL,0,31
75,NBA_to_EL,NBA,EuroLeague,2013/14,2015/16,ATL,Fenerbahce Beko Istanbul,1,33
75,NBA_to_EL,NBA,EuroLeague,2014/15,2015/16,ATL,Fenerbahce Beko Istanbul,0,33
85,EL_to_NBA,EuroLeague,NBA,2017/18,2019/20,Fenerbahce Beko Istanbul,MEM,1,24
85,EL_to_NBA,EuroLeague,NBA,2018/19,2019/20,Fenerbahce Beko Istanbul,MEM,0,24
85,NBA_to_EL,NBA,EuroLeague,2019/20,2020/21,MEM,Fenerbahce Beko Istanbul,0,25
92,EL_to_NBA,EuroLeague,NBA,2013/14,2015/16,FC Barcelona,LAL,1,32
92,EL_to_NBA,EuroLeague,NBA,2014/15,2015/16,FC Barcelona,LAL,0,32
92,NBA_to_EL,NBA,EuroLeague,2015/16,2017/18,LAL,Baskonia Vitoria-Gasteiz,1,34
