player_id,full_name,nationality,height_cm,position,played_nba,played_euroleague,is_cross_league_migrant,matching_confidence,birth_year
1,Clarence Weems Jr,United States of America,198.0,Forward,0,1,0,unmatched,1986.0
2,Robert Douglas Brown Iii,United States of America,188.0,Guard,0,1,0,unmatched,1984.0
3,Michael Perry James,United States of America,185.0,Guard,0,1,0,unmatched,1990.0
4,Victor Dewayne Rudd Jr,United States of America,204.0,Forward,0,1,0,unmatched,1991.0
5,Adreian De Angleo Payne,United States of America,208.0,Center,0,1,0,unmatched,1991.0
6,Alexander Gankevich,Russian Federation,201.0,Forward,0,1,0,unmatched,1995.0
7,Edwin Pierre Jackson,France,190.0,Guard,0,1,0,unmatched,1989.0
8,Alen Omic,Slovenia,216.0,Center,0,1,0,unmatched,1992.0
9,Atoumane Diagne,Senegal,215.0,Center,0,1,0,unmatched,1998.0
10,Toney Bernard Douglas,United States of America,188.0,Guard,0,1,0,unmatched,1986.0
11,Mindaugas Kuzminskas,Lithuania,205.0,Forward,1,1,1,exact,1989.0
12,Beno Udrih,Slovenia,191.0,Guard,1,1,1,exact,1982.0
13,Dejan Musli,Serbia,213.0,Center,0,1,0,unmatched,1991.0
14,Sergi Garcia Calvo,Spain,193.0,Guard,0,1,0,unmatched,1997.0
15,Dylan Howell Ennis,Serbia,188.0,Guard,0,1,0,unmatched,1991.0
16,Pavel Korobkov,Russian Federation,206.0,Forward,0,1,0,unmatched,1990.0
17,William Mcdowell-White,Australia,196.0,Guard,0,1,0,unmatched,1998.0
18,Kevin Andrew Jones,United States of America,203.0,Center,0,1,0,unmatched,1989.0
19,Zoran Dragic,Slovenia,196.0,Forward,1,1,1,exact,1989.0
20,Walter Samuel Tavares Da Veiga,Cabo Verde,220.0,Center,0,1,0,unmatched,1992.0
21,Curtis Louis Jerrells Jr,United States of America,185.0,Guard,0,1,0,unmatched,1987.0
22,Kyle Gregory Wiltjer,United States of America,208.0,Forward,0,1,0,unmatched,1992.0
23,Damjan Rudez,Croatia,203.0,Center,1,1,1,exact,1986.0
24,Dorell Lawrence Wright,United States of America,198.0,Forward,0,1,0,unmatched,1985.0
25,Justin Joseph Doellman,United States of America,206.0,Forward,0,1,0,unmatched,1985.0
26,Eddy Jnr Edigin,Germany,203.0,Center,0,1,0,unmatched,1995.0
27,Tryggvi Snaer Hlinason,Iceland,215.0,Center,0,1,0,unmatched,1997.0
28,Marc Garcia Antonell,Spain,196.0,Guard,0,1,0,unmatched,1996.0
29,Rakim Kahry Sanders,United States of America,196.0,Forward,0,1,0,unmatched,1989.0
30,Chasson Jermar Randle,United States of America,188.0,Guard,0,1,0,unmatched,1993.0
31,Carlos Francisco Delfino,Italy,198.0,Forward,0,1,0,unmatched,1982.0
32,Miguel Gonzalez Burgos,Spain,201.0,Forward,0,1,0,unmatched,1999.0
33,Rinalds Malmanis,Latvia,205.0,Center,0,1,0,unmatched,1996.0
34,Alberto Abalde Diaz,Spain,202.0,Forward,0,1,0,unmatched,1995.0
35,Marko Keselj,Serbia,208.0,Forward,0,1,0,unmatched,1988.0
36,Morayoninuoluwa Chukwuemeka Soluade,United Kingdom,196.0,Guard,0,1,0,unmatched,1995.0
37,Dimitrios Agravanis,Greece,208.0,Forward,0,1,0,unmatched,1994.0
38,Georgios Bogris,Greece,210.0,Center,0,1,0,unmatched,1989.0
39,Evangelos Mantzaris,Greece,194.0,Guard,0,1,0,unmatched,1990.0
40,Karam Mashour,Israel,198.0,Forward,0,1,0,unmatched,1991.0
41,Jamel Lacey Mclean,United States of America,202.0,Center,0,1,0,unmatched,1988.0
42,Nikola Milutinov,Serbia,213.0,Center,0,1,0,unmatched,1994.0
43,Konstantinos Papanikolaou,Greece,204.0,Forward,0,1,0,unmatched,1990.0
44,Ioannis Papapetrou,Greece,206.0,Forward,0,1,0,unmatched,1994.0
45,Artsiom Parakhouski,Belarus,211.0,Center,0,1,0,unmatched,1987.0
46,Georgios Printezis,Greece,205.0,Forward,0,1,0,unmatched,1985.0
47,Brian Loyd Roberts,United States of America,185.0,Guard,0,1,0,unmatched,1985.0
48,Itay Segev,Israel,204.0,Forward,0,1,0,unmatched,1995.0
49,Vasileios Spanoulis,Greece,,Guard,0,1,0,unmatched,1982.0
50,Janis Strelnieks,Latvia,191.0,Guard,0,1,0,unmatched,1989.0
51,Keith Hollis Thompson Ii,United States of America,203.0,Forward,0,1,0,unmatched,1991.0
52,Kim Gerlof Guy Tillie,France,210.0,Forward,0,1,0,unmatched,1988.0
53,Vasileios Toliopoulos,Greece,187.0,Guard,0,1,0,unmatched,1996.0
54,Aaron Rene Doornekamp,Netherlands,201.0,Forward,0,1,0,unmatched,1985.0
55,Bojan Dubljevic,Montenegro,205.0,Center,0,1,0,unmatched,1991.0
56,Anthony Remeral Gill,United States of America,204.0,Forward,0,1,0,unmatched,1992.0
57,Erick Obrien Green Ii,United States of America,190.0,Guard,0,1,0,unmatched,1992.0
58,Matthew Lawrence Janning,United States of America,193.0,Guard,0,1,0,unmatched,1988.0
59,Charles Jenkins,United States of America,191.0,Guard,1,1,1,exact,1989.0
60,Matthew Thomas Lojeski,United States of America,198.0,Guard,0,1,0,unmatched,1985.0
61,Rafael Martinez Aguilera,Spain,,Guard,0,1,0,unmatched,1982.0
62,Ray Michael Mccallum,United States of America,191.0,Guard,0,1,0,unmatched,1991.0
63,Robert Lee Dixon,United States of America,,Guard,0,1,0,unmatched,1983.0
64,Tibor Pleiss,Germany,218.0,Center,1,1,1,exact,1989.0
65,Josep Puerto Guaita,Spain,202.0,Forward,0,1,0,unmatched,1999.0
66,Thomas Earl Robinson,United States of America,208.0,Center,0,1,0,unmatched,1991.0
67,Fernando San Emeterio Lara,Spain,,Forward,0,1,0,unmatched,1984.0
68,Joan Sastre Morro,Spain,201.0,Forward,0,1,0,unmatched,1991.0
69,Kaleb Erick Tarczewski,United States of America,213.0,Center,0,1,0,unmatched,1993.0
70,Malcolm Iseiah Thomas,United States of America,206.0,Center,0,1,0,unmatched,1988.0
71,William Benson Thomas,United States of America,203.0,Forward,0,1,0,unmatched,1986.0
72,Sam Tom B. Van Rossom,Belgium,188.0,Guard,0,1,0,unmatched,1986.0
73,Guillem Vives Torrent,Spain,192.0,Guard,0,1,0,unmatched,1993.0
74,Latavious Bernard Williams,United States of America,203.0,Center,0,1,0,unmatched,1989.0
75,Pero Antic,Serbia,211.0,Center,1,1,1,exact,1982.0
76,Jonah Anthony Bolden,United States of America,208.0,Forward,0,1,0,unmatched,1996.0
77,Norris Gene Cole Ii,United States of America,188.0,Guard,0,1,0,unmatched,1988.0
78,Marco Cusin,Italy,211.0,Center,0,1,0,unmatched,1985.0
79,Luigi Datome,Italy,203.0,Forward,0,1,0,unmatched,1987.0
80,John Daniel Di Bartolomeo,Israel,183.0,Guard,0,1,0,unmatched,1991.0
