spec,league,bin,n,pred_mean,obs_rate
harmonised,NBA,0,334247,0.328757239433696,0.3293492536956203
harmonised,NBA,1,334245,0.3559524477441951,0.3557091355143682
harmonised,NBA,2,334246,0.3681809709757244,0.3671367794977352
harmonised,NBA,3,334229,0.3870737718043656,0.3865702856424786
harmonised,NBA,4,334266,0.3958822225930372,0.3946019038729634
harmonised,NBA,5,334236,0.3998797955105677,0.3995948970188729
harmonised,NBA,6,334241,0.4071137622195092,0.4079122549298261
harmonised,NBA,7,334265,0.4224819336235623,0.4229877492408718
harmonised,NBA,8,334194,0.4581090321833269,0.4613637587748433
harmonised,NBA,9,300579,0.5698862780165626,0.5679372145093303
harmonised,NBA,10,367793,0.6369551878376699,0.6340903714861349
harmonised,NBA,11,334436,0.7532289203711112,0.7566111303807006
harmonised,EuroLeague,0,45028,0.2939580007941382,0.2937505552100915
harmonised,EuroLeague,1,45030,0.3454141982555841,0.3447035309793471
harmonised,EuroLeague,2,45034,0.361446132944779,0.3571301683172714
harmonised,EuroLeague,3,45032,0.3738836878936072,0.3762435601350151
harmonised,EuroLeague,4,45046,0.3825499192471703,0.3795897526972428
harmonised,EuroLeague,5,45037,0.3906058568436574,0.3945866731798299
harmonised,EuroLeague,6,45031,0.3975519746555804,0.3985476671626213
harmonised,EuroLeague,7,45028,0.4100819072431563,0.4086124189393266
harmonised,EuroLeague,8,45036,0.4427633800841805,0.4431565858424371
harmonised,EuroLeague,9,45037,0.5273696810294063,0.5292315207496059
harmonised,EuroLeague,10,44980,0.6638060937545306,0.6630947087594486
harmonised,EuroLeague,11,45096,0.8487631084577839,0.8495210218201171
league_specific,NBA,0,334239,0.3245985186737444,0.3235229880414912
league_specific,NBA,1,334230,0.3569774014768978,0.3578463932022858
league_specific,NBA,2,334060,0.3695294818671257,0.3688469137280728
league_specific,NBA,3,334389,0.3851898061461343,0.3835891730888277
league_specific,NBA,4,334269,0.3958582136140405,0.3955048179759415
league_specific,NBA,5,334253,0.4018483823611569,0.4009597520441103
league_specific,NBA,6,334295,0.4083899710886537,0.410305269298075
league_specific,NBA,7,333955,0.4227301443162635,0.4222724618586336
league_specific,NBA,8,334516,0.4579799202240526,0.4623545659998326
league_specific,NBA,9,326944,0.5710743469993266,0.5685469071155916
league_specific,NBA,10,341480,0.6416195447478872,0.6389276092304088
league_specific,NBA,11,334347,0.7525823980710196,0.756319033818159
league_specific,EuroLeague,0,45024,0.2755347008375609,0.2758306680881308
league_specific,EuroLeague,1,45045,0.3254019866043248,0.3255189255189255
league_specific,EuroLeague,2,45034,0.3415761760589945,0.3373229115779189
league_specific,EuroLeague,3,45032,0.3523862227323552,0.3509504352460472
league_specific,EuroLeague,4,45034,0.3600910360208159,0.3590398365679264
league_specific,EuroLeague,5,45032,0.3675859438855259,0.3693817729614496
league_specific,EuroLeague,6,45036,0.3778067484534104,0.3817612576605382
league_specific,EuroLeague,7,45029,0.3888667196592257,0.3867285527104754
league_specific,EuroLeague,8,45024,0.4142478696821499,0.4173773987206823
league_specific,EuroLeague,9,45012,0.4972529324855209,0.4941571136585799
league_specific,EuroLeague,10,45033,0.7388465436327285,0.7405236160149223
league_specific,EuroLeague,11,45080,0.9986672572211444,0.9993345164152616
