player_id,direction,gap,origin_league,origin_year,age,position,height_cm,included_100,fga_min_side,games_played,minutes_per_game,fga_per_game,efg_pct,three_pt_pct,points_per_game,turnovers_per_game,ft_attempts_total,fga_total,prior_fga_per_game,prior_efg_pct,prior_three_pt_pct,prior_minutes_per_game,has_prior_season
11,EL_to_NBA,1,EuroLeague,2014,27,Forward,205.0,False,96,24.0,21.791,7.9,0.5,27.54,10.0,1.2,64.0,189.0,5.3,0.5157,31.43,14.2472,True
11,EL_to_NBA,0,EuroLeague,2015,27,Forward,205.0,True,194,23.0,21.2529,9.1,0.5548,37.66,12.0,1.7,52.0,210.0,7.9,0.5,27.54,21.791,True
11,NBA_to_EL,0,NBA,2016,28,Forward,205.0,True,114,68.0,14.94,5.43,0.5014,32.1,6.25,0.75,68.0,369.0,,,,,False
11,NBA_to_EL,0,NBA,2017,29,Forward,205.0,False,2,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.43,0.5014,32.1,14.94,True
12,EL_to_NBA,1,EuroLeague,2002,22,Guard,191.0,False,0,20.0,24.3,5.9,0.4958,26.92,8.4,1.9,62.0,118.0,8.2,0.5382,33.93,27.3377,True
12,NBA_to_EL,1,NBA,2015,35,Guard,191.0,False,56,8.0,15.0,5.75,0.4783,36.4,5.88,1.38,3.0,46.0,6.39,0.5129,26.8,18.91,True
12,NBA_to_EL,0,NBA,2016,35,Guard,191.0,False,56,39.0,14.36,5.05,0.4949,34.4,5.82,0.92,34.0,197.0,5.75,0.4783,36.4,15.0,True
19,EL_to_NBA,1,EuroLeague,2012,25,Forward,196.0,False,30,22.0,16.3439,4.2,0.4194,12.9,4.5,0.7,27.0,93.0,,,,,False
19,EL_to_NBA,0,EuroLeague,2013,25,Forward,196.0,False,30,22.0,22.878,9.1,0.4826,35.44,10.9,1.2,64.0,201.0,4.2,0.4194,12.9,16.3439,True
19,NBA_to_EL,0,NBA,2014,26,Forward,196.0,False,30,6.0,2.17,1.33,0.25,0.0,1.0,0.0,3.0,8.0,,,,,False
23,NBA_to_EL,1,NBA,2015,31,Center,203.0,False,34,33.0,8.39,1.88,0.5403,34.0,2.27,0.39,8.0,62.0,3.87,0.5837,40.6,15.4,True
23,NBA_to_EL,0,NBA,2016,31,Center,203.0,False,34,45.0,6.98,1.96,0.4659,31.3,1.82,0.2,0.0,88.0,1.88,0.5403,34.0,8.39,True
59,NBA_to_EL,1,NBA,2011,24,Guard,191.0,False,51,51.0,17.51,5.71,0.4519,15.0,5.82,1.18,39.0,291.0,,,,,False
59,NBA_to_EL,0,NBA,2012,24,Guard,191.0,False,51,47.0,6.19,1.77,0.4277,50.0,1.72,0.4,18.0,83.0,5.71,0.4519,15.0,17.51,True
64,EL_to_NBA,1,EuroLeague,2013,26,Center,218.0,False,25,24.0,21.0569,8.4,0.5572,,12.0,1.6,73.0,201.0,3.3,0.6131,33.33,14.204,True
64,EL_to_NBA,0,EuroLeague,2014,26,Center,218.0,False,25,25.0,13.0947,3.6,0.5899,50.0,5.3,0.8,33.0,89.0,8.4,0.5572,,21.0569,True
64,NBA_to_EL,0,NBA,2015,27,Center,218.0,False,25,12.0,6.83,2.08,0.44,0.0,2.0,0.67,2.0,25.0,,,,,False
75,EL_to_NBA,1,EuroLeague,2011,31,Center,211.0,False,95,22.0,18.7167,6.4,0.4107,25.0,7.2,1.0,57.0,140.0,,,,,False
