variable,n_incl,incl_mean,incl_sd,n_excl,excl_mean,excl_sd,SMD,MWU_p,avail_incl_%,avail_excl_%
Age at migration (years),31,28.64516129032258,3.5359900744277573,558,26.38888888888889,3.8159193877737607,0.6133477734426107,0.00030899687198774077,100.0,100.0
Height (cm),31,199.83870967741936,9.183669470654774,554,201.8519855595668,9.35765758852582,-0.2171567592061747,0.24559266330165608,100.0,99.2831541218638
Games played (origin season),31,36.61290322580645,14.545738022653094,558,25.829749103942653,20.903506881309134,0.5988169284060463,5.591678337682874e-05,100.0,100.0
Minutes per game (origin season),31,20.807761290322585,5.781918307140946,469,15.391878699360342,8.271878507312103,0.7589165335689158,0.0001200174302941122,100.0,84.05017921146954
FGA per game (origin season),31,6.853870967741935,2.7026957868263737,469,4.825223880597014,3.0869972345737713,0.6992401158813208,8.045233075159821e-05,100.0,84.05017921146954
"eFG (origin season, 0-1)",31,0.5108,0.06841774623589993,553,0.46847631103074144,0.13418351496296455,0.3973906077735638,0.03791999962174964,100.0,99.10394265232975
"3P% (origin season, 0-100)",31,34.90096774193548,6.981499053373714,500,25.81274,18.126174541237287,0.6616846590257607,0.0035401982041266384,100.0,89.60573476702508
Points per game (origin season),31,8.62258064516129,3.8948983450508137,469,5.906183368869936,4.41937804250138,0.6521333968382702,0.00011062069110015343,100.0,84.05017921146954
FGA per game (season t−1),21,7.068095238095237,2.2685008685200434,308,5.415909090909091,2.923922917844045,0.6313733900542523,0.00448617970069152,67.74193548387096,55.19713261648746
"eFG (season t−1, 0-1)",22,0.5195636363636363,0.05535270067360283,336,0.48627380952380944,0.10860395624474907,0.38622068590916225,0.07387745255588711,70.96774193548387,60.215053763440864
"3P% (season t−1, 0-100)",22,36.04181818181818,7.4729509925327715,312,27.212884615384617,17.519786848077747,0.6555364325612255,0.015362597746109447,70.96774193548387,55.913978494623656
