spec,threshold,group,metric,n,n_players,mean_delta,ci_lo,ci_hi,rank_biserial,wilcoxon_p
harmonised,50,ALL,efg,46,16,-0.006665830412265853,-0.03127304358572036,0.017790180437226657,-0.08695652173913043,0.5807290955643225
harmonised,50,ALL,pps,46,16,-0.013331660824531705,-0.06254608717144072,0.035580360874453314,-0.08695652173913043,0.5807290955643225
harmonised,50,ALL,sxsv,46,16,-0.02602591644390353,-0.056499105425109254,-3.88956578374423e-05,-0.21739130434782608,0.16344028876872585
harmonised,50,ALL,smoe,46,16,0.0036600949267367035,-0.01376742549255107,0.020144258615844162,0.08695652173913043,0.4350899118340976
harmonised,50,EL_to_NBA,efg,22,11,-0.030873850840458995,-0.06896468588976437,0.008214330991034646,-0.36363636363636365,0.11287164688110352
harmonised,50,EL_to_NBA,pps,22,11,-0.06174770168091799,-0.13792937177952874,0.01642866198206929,-0.36363636363636365,0.11287164688110352
harmonised,50,EL_to_NBA,sxsv,22,11,0.0011614084075018607,-0.03012546068453547,0.030761094480108876,0.0,0.9492697715759277
harmonised,50,EL_to_NBA,smoe,22,11,-0.025309461565974155,-0.05078899834549313,-0.0004531679271182437,-0.36363636363636365,0.09173250198364258
harmonised,50,NBA_to_EL,efg,24,14,0.015524854980244529,-0.014660887554722854,0.04541014775495794,0.16666666666666666,0.3902466297149658
harmonised,50,NBA_to_EL,pps,24,14,0.031049709960489058,-0.029321775109445707,0.09082029550991588,0.16666666666666666,0.3902466297149658
harmonised,50,NBA_to_EL,sxsv,24,14,-0.05094763089102514,-0.10077176004559601,-0.011150340976442142,-0.4166666666666667,0.04906117916107178
harmonised,50,NBA_to_EL,smoe,24,14,0.03021552171172165,0.013334700812544223,0.04696941857767325,0.5,0.002814650535583496
harmonised,100,ALL,efg,31,11,-0.022632643198224504,-0.0489116322546419,0.003785630550659352,-0.0967741935483871,0.1756664952263236
harmonised,100,ALL,pps,31,11,-0.04526528639644901,-0.0978232645092838,0.007571261101318704,-0.0967741935483871,0.1756664952263236
harmonised,100,ALL,sxsv,31,11,-0.009175735263925395,-0.031196536618444726,0.01108999572488043,-0.0967741935483871,0.529405927285552
harmonised,100,ALL,smoe,31,11,-0.015141174152113525,-0.03544535489964299,0.004494980362764832,-0.0967741935483871,0.3271495960652828
harmonised,100,EL_to_NBA,efg,19,11,-0.05131319806133359,-0.08446148976493226,-0.016436700757589875,-0.47368421052631576,0.012359619140625
harmonised,100,EL_to_NBA,pps,19,11,-0.10262639612266718,-0.16892297952986451,-0.03287340151517975,-0.47368421052631576,0.012359619140625
harmonised,100,EL_to_NBA,sxsv,19,11,-0.011537497397485698,-0.041805373280092074,0.01576353045676316,-0.05263157894736842,0.6225624084472656
harmonised,100,EL_to_NBA,smoe,19,11,-0.03545313000969803,-0.061483098354005526,-0.009226821491289443,-0.47368421052631576,0.020412445068359375
harmonised,100,NBA_to_EL,efg,12,8,0.022778235335031566,-0.003946495448982589,0.050008362791454306,0.5,0.17626953125
harmonised,100,NBA_to_EL,pps,12,8,0.04555647067006313,-0.007892990897965179,0.10001672558290861,0.5,0.17626953125
harmonised,100,NBA_to_EL,sxsv,12,8,-0.0054362785524549135,-0.035059175902237755,0.023236998317572068,-0.16666666666666666,0.791015625
harmonised,100,NBA_to_EL,smoe,12,8,0.01701942262239527,-0.004394823733252659,0.036773206334196826,0.5,0.12939453125
harmonised,150,ALL,efg,19,9,-0.04212522498401282,-0.07529492835563331,-0.010346768067758793,-0.3684210526315789,0.02298736572265625
harmonised,150,ALL,pps,19,9,-0.08425044996802564,-0.15058985671126662,-0.020693536135517585,-0.3684210526315789,0.02298736572265625
harmonised,150,ALL,sxsv,19,9,-0.009001901664296088,-0.0397110268225756,0.01706020301224408,-0.05263157894736842,0.7982521057128906
harmonised,150,ALL,smoe,19,9,-0.027191917585201744,-0.05102081703523894,-0.004720488260857753,-0.3684210526315789,0.044559478759765625
harmonised,150,EL_to_NBA,efg,15,9,-0.062349003886894655,-0.09751873583351588,-0.03158232609562247,-0.6,0.00115966796875
harmonised,150,EL_to_NBA,pps,15,9,-0.12469800777378931,-0.19503747166703175,-0.06316465219124494,-0.6,0.00115966796875
harmonised,150,EL_to_NBA,sxsv,15,9,-0.018596129160176035,-0.05154491806022435,0.013163473328585489,-0.2,0.389404296875
harmonised,150,EL_to_NBA,smoe,15,9,-0.038431444822203654,-0.06435860999419514,-0.01578913957449263,-0.6,0.0042724609375
harmonised,150,NBA_to_EL,efg,4,3,0.03371394590179405,-0.009552467320412567,0.07698035912400067,0.5,0.375
harmonised,150,NBA_to_EL,pps,4,3,0.0674278918035881,-0.019104934640825133,0.15396071824800134,0.5,0.375
harmonised,150,NBA_to_EL,sxsv,4,3,0.026976451445253707,0.0011385177461193385,0.047603279989679864,0.5,0.25
harmonised,150,NBA_to_EL,smoe,4,3,0.014956309553555418,-0.02929108303138705,0.05364742456938103,0.5,0.625
harmonised,200,ALL,efg,12,6,-0.02535182212260033,-0.05123191014153802,0.002603832039229198,-0.16666666666666666,0.1513671875
harmonised,200,ALL,pps,12,6,-0.05070364424520066,-0.10246382028307605,0.005207664078458396,-0.16666666666666666,0.1513671875
harmonised,200,ALL,sxsv,12,6,-0.02520688068052786,-0.06332653966311431,0.008933036488438862,-0.16666666666666666,0.423828125
harmonised,200,ALL,smoe,12,6,-0.004777372310284737,-0.019519664390961027,0.011772336335069494,-0.16666666666666666,0.4697265625
harmonised,200,EL_to_NBA,efg,10,6,-0.038067605744263724,-0.06264216580892423,-0.012783249604561094,-0.4,0.02734375
harmonised,200,EL_to_NBA,pps,10,6,-0.07613521148852745,-0.12528433161784847,-0.025566499209122188,-0.4,0.02734375
harmonised,200,EL_to_NBA,sxsv,10,6,-0.031684851997021236,-0.07792433781699874,0.008475054745502779,-0.2,0.322265625
harmonised,200,EL_to_NBA,smoe,10,6,-0.01266409200062025,-0.024942637003825378,-0.00010719742241367371,-0.4,0.130859375
league_specific,50,ALL,efg,46,16,-0.006665830412265853,-0.03127304358572036,0.017790180437226657,-0.08695652173913043,0.5807290955643225
league_specific,50,ALL,pps,46,16,-0.013331660824531705,-0.06254608717144072,0.035580360874453314,-0.08695652173913043,0.5807290955643225
league_specific,50,ALL,sxsv,46,16,-0.027034481941754295,-0.06403497823632769,0.005140431347357333,-0.34782608695652173,0.20712819215054878
league_specific,50,ALL,smoe,46,16,0.004509373074390044,-0.014080810633600381,0.02268012607639623,0.13043478260869565,0.5298006435543527
league_specific,50,EL_to_NBA,efg,22,11,-0.030873850840458995,-0.06896468588976437,0.008214330991034646,-0.36363636363636365,0.11287164688110352
league_specific,50,EL_to_NBA,pps,22,11,-0.06174770168091799,-0.13792937177952874,0.01642866198206929,-0.36363636363636365,0.11287164688110352
league_specific,50,EL_to_NBA,sxsv,22,11,0.0073048996981086274,-0.027124143523908337,0.04406024377959649,-0.36363636363636365,0.8485937118530273
league_specific,50,EL_to_NBA,smoe,22,11,-0.027933092878579847,-0.05188125254413345,-0.005031433971912443,-0.2727272727272727,0.050072669982910156
league_specific,50,NBA_to_EL,efg,24,14,0.015524854980244529,-0.014660887554722854,0.04541014775495794,0.16666666666666666,0.3902466297149658
league_specific,50,NBA_to_EL,pps,24,14,0.031049709960489058,-0.029321775109445707,0.09082029550991588,0.16666666666666666,0.3902466297149658
league_specific,50,NBA_to_EL,sxsv,24,14,-0.05851224844496198,-0.11976676414502684,-0.007389979493376627,-0.3333333333333333,0.10738253593444824
league_specific,50,NBA_to_EL,smoe,24,14,0.03424830019794577,0.013058962280666213,0.055947665504757854,0.5,0.007189035415649414
league_specific,100,ALL,efg,31,11,-0.022632643198224504,-0.0489116322546419,0.003785630550659352,-0.0967741935483871,0.1756664952263236
league_specific,100,ALL,pps,31,11,-0.04526528639644901,-0.0978232645092838,0.007571261101318704,-0.0967741935483871,0.1756664952263236
league_specific,100,ALL,sxsv,31,11,-0.010210644921642522,-0.035291020332813706,0.01567184070157422,-0.41935483870967744,0.31757172010838985
league_specific,100,ALL,smoe,31,11,-0.014795402139592937,-0.03525465835282987,0.005023572466364829,-0.0967741935483871,0.26389263197779655
league_specific,100,EL_to_NBA,efg,19,11,-0.05131319806133359,-0.08446148976493226,-0.016436700757589875,-0.47368421052631576,0.012359619140625
league_specific,100,EL_to_NBA,pps,19,11,-0.10262639612266718,-0.16892297952986451,-0.03287340151517975,-0.47368421052631576,0.012359619140625
league_specific,100,EL_to_NBA,sxsv,19,11,-0.007899956852941337,-0.03788625964580498,0.023901769576662703,-0.47368421052631576,0.3954620361328125
league_specific,100,EL_to_NBA,smoe,19,11,-0.03732339168841815,-0.06188567450633113,-0.012949529900604032,-0.47368421052631576,0.01082611083984375
league_specific,100,NBA_to_EL,efg,12,8,0.022778235335031566,-0.003946495448982589,0.050008362791454306,0.5,0.17626953125
league_specific,100,NBA_to_EL,pps,12,8,0.04555647067006313,-0.007892990897965179,0.10001672558290861,0.5,0.17626953125
league_specific,100,NBA_to_EL,sxsv,12,8,-0.01386923436375273,-0.0565266782964303,0.029145993141423392,-0.3333333333333333,0.6220703125
league_specific,100,NBA_to_EL,smoe,12,8,0.020873914646046987,-0.0034719080294405703,0.04327506648939376,0.5,0.12939453125
league_specific,150,ALL,efg,19,9,-0.04212522498401282,-0.07529492835563331,-0.010346768067758793,-0.3684210526315789,0.02298736572265625
league_specific,150,ALL,pps,19,9,-0.08425044996802564,-0.15058985671126662,-0.020693536135517585,-0.3684210526315789,0.02298736572265625
league_specific,150,ALL,sxsv,19,9,-0.01673867689879677,-0.04431502742023325,0.011715039330607553,-0.5789473684210527,0.1336212158203125
league_specific,150,ALL,smoe,19,9,-0.02434981400027185,-0.04752650459947857,-0.001181097585253965,-0.3684210526315789,0.06628799438476562
league_specific,150,EL_to_NBA,efg,15,9,-0.062349003886894655,-0.09751873583351588,-0.03158232609562247,-0.6,0.00115966796875
league_specific,150,EL_to_NBA,pps,15,9,-0.12469800777378931,-0.19503747166703175,-0.06316465219124494,-0.6,0.00115966796875
league_specific,150,EL_to_NBA,sxsv,15,9,-0.026980289599216598,-0.05615402964561433,0.005502149912579193,-0.7333333333333333,0.041259765625
league_specific,150,EL_to_NBA,smoe,15,9,-0.035929686827692,-0.05965294971320443,-0.015120578710497065,-0.6,0.0042724609375
league_specific,150,NBA_to_EL,efg,4,3,0.03371394590179405,-0.009552467320412567,0.07698035912400067,0.5,0.375
league_specific,150,NBA_to_EL,pps,4,3,0.0674278918035881,-0.019104934640825133,0.15396071824800134,0.5,0.375
league_specific,150,NBA_to_EL,sxsv,4,3,0.02166737072777758,-0.031154939072159382,0.07448968052771454,0.0,0.625
league_specific,150,NBA_to_EL,smoe,4,3,0.019074709102553728,-0.04026796232470441,0.06557897533044202,0.5,0.625
league_specific,200,ALL,efg,12,6,-0.02535182212260033,-0.05123191014153802,0.002603832039229198,-0.16666666666666666,0.1513671875
league_specific,200,ALL,pps,12,6,-0.05070364424520066,-0.10246382028307605,0.005207664078458396,-0.16666666666666666,0.1513671875
league_specific,200,ALL,sxsv,12,6,-0.036398532085960396,-0.06079801893858272,-0.01349089112630997,-0.8333333333333334,0.01220703125
league_specific,200,ALL,smoe,12,6,-0.0009006360098661745,-0.01640742672818402,0.01840047806865966,-0.16666666666666666,0.6220703125
league_specific,200,EL_to_NBA,efg,10,6,-0.038067605744263724,-0.06264216580892423,-0.012783249604561094,-0.4,0.02734375
league_specific,200,EL_to_NBA,pps,10,6,-0.07613521148852745,-0.12528433161784847,-0.025566499209122188,-0.4,0.02734375
league_specific,200,EL_to_NBA,sxsv,10,6,-0.0374472506887206,-0.06702833730340152,-0.009886728025221543,-0.8,0.037109375
league_specific,200,EL_to_NBA,smoe,10,6,-0.011404498843918276,-0.022136211258055795,0.00012673803169341562,-0.4,0.130859375
