spec,group,metric,n,mean_pre,mean_post,mean_delta,ci_lo,ci_hi,rank_biserial,wilcoxon_p
harmonised,ALL,efg,31,0.5156564030984959,0.4930237599002715,-0.022632643198224504,-0.0489116322546419,0.003785630550659352,-0.0967741935483871,0.1756664952263236
harmonised,ALL,pps,31,1.0313128061969918,0.986047519800543,-0.04526528639644901,-0.0978232645092838,0.007571261101318704,-0.0967741935483871,0.1756664952263236
harmonised,ALL,sxsv,31,1.0345107262701991,1.025334991006274,-0.009175735263925395,-0.031196536618444726,0.01108999572488043,-0.0967741935483871,0.529405927285552
harmonised,ALL,smoe,31,0.0008280464096293001,-0.014313127742484229,-0.015141174152113525,-0.03544535489964299,0.004494980362764832,-0.0967741935483871,0.3271495960652828
harmonised,ALL,three_rate,31,0.46534817335775336,0.44151709328072236,-0.023831080077031056,-0.08990181925434576,0.03919078657647972,0.0967741935483871,0.8091655615717173
harmonised,ALL,mean_dist,31,4.939947500457075,4.84659764293886,-0.09334985751821391,-0.4524610881248386,0.254654313483328,0.03225806451612903,0.8392556216567755
harmonised,ALL,pps_over_sxsv,31,-0.003197920073207434,-0.03928747120573103,-0.0360895511325236,-0.08534122124958331,0.012297278022571903,-0.16129032258064516,0.34684528410434723
harmonised,EL_to_NBA,efg,19,0.540353170634379,0.48903997257304554,-0.05131319806133359,-0.08446148976493226,-0.016436700757589875,-0.47368421052631576,0.012359619140625
harmonised,EL_to_NBA,pps,19,1.080706341268758,0.9780799451460911,-0.10262639612266718,-0.16892297952986451,-0.03287340151517975,-0.47368421052631576,0.012359619140625
harmonised,EL_to_NBA,sxsv,19,1.0370726511688921,1.0255351537714066,-0.011537497397485698,-0.041805373280092074,0.01576353045676316,-0.05263157894736842,0.6225624084472656
harmonised,EL_to_NBA,smoe,19,0.019674531063919705,-0.015778598945778332,-0.03545313000969803,-0.061483098354005526,-0.009226821491289443,-0.47368421052631576,0.020412445068359375
harmonised,EL_to_NBA,three_rate,19,0.48633838225383313,0.45805143565706546,-0.028286946596767473,-0.11445018734726498,0.057530641164270827,-0.05263157894736842,0.70855712890625
harmonised,EL_to_NBA,mean_dist,19,4.975963783728513,4.930459818201833,-0.045503965526679215,-0.49990733194220316,0.42828403102213486,-0.05263157894736842,0.8905677795410156
harmonised,EL_to_NBA,pps_over_sxsv,19,0.04363369009986592,-0.04745520862531557,-0.09108889872518149,-0.15238579889561674,-0.02833947547303256,-0.6842105263157895,0.00945281982421875
