spec,threshold,subset,group,metric,n,n_players,mean_delta,sd_delta,median_delta,ci_lo,ci_hi,rank_biserial,wilcoxon_p,mean_pre,mean_post
harmonised,50,all,ALL,efg,46,16,-0.006665830412265853,0.08672288175875623,-0.022006738501728296,-0.03127304358572036,0.017790180437226657,-0.08695652173913043,0.5807290955643225,0.49416778120569993,0.48750195079343406
harmonised,50,all,ALL,pps,46,16,-0.013331660824531705,0.17344576351751245,-0.04401347700345659,-0.06254608717144072,0.035580360874453314,-0.08695652173913043,0.5807290955643225,0.9883355624113999,0.9750039015868681
harmonised,50,all,ALL,sxsv,46,16,-0.02602591644390353,0.09971039050262843,-0.010065759021444742,-0.056499105425109254,-3.88956578374423e-05,-0.21739130434782608,0.16344028876872585,1.0219784933754887,0.9959525769315851
harmonised,50,all,ALL,smoe,46,16,0.0036600949267367035,0.06035321238690963,0.003913119590638466,-0.01376742549255107,0.020144258615844162,0.08695652173913043,0.4350899118340976,-0.0124711395136825,-0.008811044586945802
harmonised,50,all,ALL,three_rate,46,16,0.002617571743849312,0.19228259913805593,0.011985191692150059,-0.051816497086305154,0.05740185639112767,0.1111111111111111,0.7221716931581559,0.3985123754837453,0.4011299472275944
harmonised,50,all,ALL,mean_dist,46,16,0.050510317631786206,1.0889372303684295,0.07663895431472545,-0.26797146785867154,0.3617269832940012,0.13043478260869565,0.6415382537348648,4.690821743892404,4.741332061524189
harmonised,50,all,ALL,pps_over_sxsv,46,16,0.012694255619371826,0.1505441574807407,0.013579928684480103,-0.030296306351837495,0.05356025079436449,0.08695652173913043,0.32870388780955295,-0.03364293096408887,-0.020948675344717036
harmonised,50,all,EL_to_NBA,efg,22,11,-0.030873850840458995,0.09383338523838061,-0.047830175672627956,-0.06896468588976437,0.008214330991034646,-0.36363636363636365,0.11287164688110352,0.5203164364662505,0.48944258562579157
harmonised,50,all,EL_to_NBA,pps,22,11,-0.06174770168091799,0.18766677047676122,-0.09566035134525591,-0.13792937177952874,0.01642866198206929,-0.36363636363636365,0.11287164688110352,1.040632872932501,0.9788851712515831
harmonised,50,all,EL_to_NBA,sxsv,22,11,0.0011614084075018607,0.07361952613227267,-1.57149046506877e-05,-0.03012546068453547,0.030761094480108876,0.0,0.9492697715759277,1.033071934937845,1.034233343345347
harmonised,50,all,EL_to_NBA,smoe,22,11,-0.025309461565974155,0.06335467186692369,-0.016262861935371242,-0.05078899834549313,-0.0004531679271182437,-0.36363636363636365,0.09173250198364258,0.006050744341572306,-0.019258717224401842
harmonised,50,all,EL_to_NBA,three_rate,22,11,-0.041789988594337225,0.18745629084210738,-0.034736553675313114,-0.11937890310713971,0.03625631098898227,-0.09090909090909091,0.4434065818786621,0.5140964404587971,0.47230645186445985
harmonised,50,all,EL_to_NBA,mean_dist,22,11,-0.16790730410103522,1.0878837059754443,-0.09465616552129408,-0.6315870370174335,0.2850596654605238,-0.09090909090909091,0.5660676956176758,5.1170968532804615,4.949189549179426
harmonised,50,all,EL_to_NBA,pps_over_sxsv,22,11,-0.06290911008841986,0.15628266936155663,-0.05485076221494589,-0.12611749898806113,-0.0015417147637960774,-0.45454545454545453,0.06341934204101562,0.0075609379946555595,-0.05534817209376428
harmonised,50,all,NBA_to_EL,efg,24,14,0.015524854980244529,0.07484156425687838,0.011623975045696094,-0.014660887554722854,0.04541014775495794,0.16666666666666666,0.3902466297149658,0.47019818055019535,0.4857230355304399
harmonised,50,all,NBA_to_EL,pps,24,14,0.031049709960489058,0.14968312851375676,0.02324795009139219,-0.029321775109445707,0.09082029550991588,0.16666666666666666,0.3902466297149658,0.9403963611003907,0.9714460710608798
harmonised,50,all,NBA_to_EL,sxsv,24,14,-0.05094763089102514,0.11466648107927199,-0.02335616895719922,-0.10077176004559601,-0.011150340976442142,-0.4166666666666667,0.04906117916107178,1.011809505276662,0.9608618743856369
harmonised,50,all,NBA_to_EL,smoe,24,14,0.03021552171172165,0.04385505105664236,0.03762993677371746,0.013334700812544223,0.04696941857767325,0.5,0.002814650535583496,-0.029449533047666076,0.0007659886640555778
harmonised,50,all,NBA_to_EL,three_rate,24,14,0.04332450205385364,0.19141076193740023,0.02724089635854341,-0.03274123182654257,0.11834019509286083,0.30434782608695654,0.144312678876656,0.29256031592328086,0.3358848179771345
harmonised,50,all,NBA_to_EL,mean_dist,24,14,0.25072647088687255,1.0732998518633845,0.08242357314287219,-0.17474870115323363,0.6533914648673301,0.3333333333333333,0.2405325174331665,4.300069560286685,4.550796031173558
harmonised,50,all,NBA_to_EL,pps_over_sxsv,24,14,0.0819973408515142,0.10752766769106978,0.11098233636302968,0.04072966432613734,0.1247907138418106,0.5833333333333334,0.0007423162460327148,-0.07141314417627125,0.010584196675242944
harmonised,100,all,ALL,efg,31,11,-0.022632643198224504,0.07692341221312525,-0.023645546372819126,-0.0489116322546419,0.003785630550659352,-0.0967741935483871,0.1756664952263236,0.5156564030984959,0.4930237599002715
harmonised,100,all,ALL,pps,31,11,-0.04526528639644901,0.1538468244262505,-0.04729109274563825,-0.0978232645092838,0.007571261101318704,-0.0967741935483871,0.1756664952263236,1.0313128061969918,0.986047519800543
harmonised,100,all,ALL,sxsv,31,11,-0.009175735263925395,0.059952454568432574,-0.002178282240671292,-0.031196536618444726,0.01108999572488043,-0.0967741935483871,0.529405927285552,1.0345107262701991,1.025334991006274
harmonised,100,all,ALL,smoe,31,11,-0.015141174152113525,0.057999044993922465,-0.012183975891659257,-0.03544535489964299,0.004494980362764832,-0.0967741935483871,0.3271495960652828,0.0008280464096293001,-0.014313127742484229
harmonised,100,all,ALL,three_rate,31,11,-0.023831080077031056,0.18923091185205462,0.01364379084967321,-0.08990181925434576,0.03919078657647972,0.0967741935483871,0.8091655615717173,0.46534817335775336,0.44151709328072236
harmonised,100,all,ALL,mean_dist,31,11,-0.09334985751821391,1.026319228397486,0.038577132299749906,-0.4524610881248386,0.254654313483328,0.03225806451612903,0.8392556216567755,4.939947500457075,4.84659764293886
harmonised,100,all,ALL,pps_over_sxsv,31,11,-0.0360895511325236,0.1425397207407026,-0.028167247663406947,-0.08534122124958331,0.012297278022571903,-0.16129032258064516,0.34684528410434723,-0.003197920073207434,-0.03928747120573103
harmonised,100,all,EL_to_NBA,efg,19,11,-0.05131319806133359,0.07784106480128654,-0.048648648648648596,-0.08446148976493226,-0.016436700757589875,-0.47368421052631576,0.012359619140625,0.540353170634379,0.48903997257304554
harmonised,100,all,EL_to_NBA,pps,19,11,-0.10262639612266718,0.15568212960257308,-0.09729729729729719,-0.16892297952986451,-0.03287340151517975,-0.47368421052631576,0.012359619140625,1.080706341268758,0.9780799451460911
harmonised,100,all,EL_to_NBA,sxsv,19,11,-0.011537497397485698,0.06478250795401025,-0.0019875076262589886,-0.041805373280092074,0.01576353045676316,-0.05263157894736842,0.6225624084472656,1.0370726511688921,1.0255351537714066
harmonised,100,all,EL_to_NBA,smoe,19,11,-0.03545313000969803,0.05980596780852273,-0.030449708687751133,-0.061483098354005526,-0.009226821491289443,-0.47368421052631576,0.020412445068359375,0.019674531063919705,-0.015778598945778332
harmonised,100,all,EL_to_NBA,three_rate,19,11,-0.028286946596767473,0.1942357503322879,-0.00046379321006739804,-0.11445018734726498,0.057530641164270827,-0.05263157894736842,0.70855712890625,0.48633838225383313,0.45805143565706546
harmonised,100,all,EL_to_NBA,mean_dist,19,11,-0.045503965526679215,1.0436714741800246,-0.009434677725586482,-0.49990733194220316,0.42828403102213486,-0.05263157894736842,0.8905677795410156,4.975963783728513,4.930459818201833
harmonised,100,all,EL_to_NBA,pps_over_sxsv,19,11,-0.09108889872518149,0.14395848478599116,-0.0826689004131167,-0.15238579889561674,-0.02833947547303256,-0.6842105263157895,0.00945281982421875,0.04363369009986592,-0.04745520862531557
harmonised,100,all,NBA_to_EL,efg,12,8,0.022778235335031566,0.05052046458285255,0.018682940561595807,-0.003946495448982589,0.050008362791454306,0.5,0.17626953125,0.4765531878333477,0.49933142316837936
harmonised,100,all,NBA_to_EL,pps,12,8,0.04555647067006313,0.1010409291657051,0.03736588112319161,-0.007892990897965179,0.10001672558290861,0.5,0.17626953125,0.9531063756666954,0.9986628463367587
harmonised,100,all,NBA_to_EL,sxsv,12,8,-0.0054362785524549135,0.05394711322270388,-0.006771027421781706,-0.035059175902237755,0.023236998317572068,-0.16666666666666666,0.791015625,1.0304543451806023,1.0250180666281477
harmonised,100,all,NBA_to_EL,smoe,12,8,0.01701942262239527,0.03847611441330008,0.024128744299165644,-0.004394823733252659,0.036773206334196826,0.5,0.12939453125,-0.02901222095966384,-0.011992798337268561
harmonised,100,all,NBA_to_EL,three_rate,12,8,-0.0167759580874484,0.18930017580175074,0.04976644373965805,-0.1267488878787934,0.07932119665743996,0.3333333333333333,0.67724609375,0.4321136759389606,0.41533771785151224
harmonised,100,all,NBA_to_EL,mean_dist,12,8,-0.1691058531714772,1.039277245374556,0.05888757971828085,-0.7656994754834838,0.36883266914423296,0.16666666666666666,0.9697265625,4.882921718610631,4.7138158654391535
