direction,matching,outcome,n_episodes,n_players,migrant_delta,control_delta,DiD,ci_lo,ci_hi,ci_lo_clustered,ci_hi_clustered,wilcoxon_p,covariates_used,covariates_dropped,control_pool_n
EL_to_NBA,base (paper),efg_pct,128,87,-0.06754661654135337,-0.005236406250000001,-0.06348703125,-0.08318699218749999,-0.04550539843750001,-0.08634295269291341,-0.04299155078125,2.981857394169638e-10,fga_per_game+efg_pct+three_pt_pct,-,2224
EL_to_NBA,base (paper),three_pt_pct,110,79,-8.48624060150376,0.4268909090909092,-7.811072727272727,-10.376532272727271,-5.328729545454547,-10.908564747474749,-4.8067018190921225,1.1799702552640241e-07,fga_per_game+efg_pct+three_pt_pct,-,2224
EL_to_NBA,base (paper),fga_per_game,47,39,-2.989548872180451,-0.8119148936170212,-2.8748936170212773,-3.7710638297872334,-2.0300000000000002,-3.938162071078432,-1.9003888519503551,8.580528287893685e-09,fga_per_game+efg_pct+three_pt_pct,-,2224
EL_to_NBA,base (paper) + exact position,efg_pct,130,87,-0.06754661654135337,-0.010000307692307694,-0.05558276923076923,-0.07352491153846154,-0.03871436153846154,-0.07549167576633892,-0.03649771022950819,2.1567988343883195e-08,fga_per_game+efg_pct+three_pt_pct,-,2224
EL_to_NBA,base (paper) + exact position,three_pt_pct,105,74,-8.48624060150376,-0.5111619047619047,-7.714266666666666,-10.588272380952379,-4.918368095238097,-11.106845623478751,-4.353793727272728,1.0785699766521447e-06,fga_per_game+efg_pct+three_pt_pct,-,2224
EL_to_NBA,base (paper) + exact position,fga_per_game,40,32,-2.989548872180451,-0.726,-2.35,-3.1883062499999997,-1.5152437500000002,-3.4208492822966505,-1.4476821428571434,2.544799105017738e-06,fga_per_game+efg_pct+three_pt_pct,-,2224
EL_to_NBA,+ minutes,efg_pct,127,85,-0.06754661654135337,-0.007595590551181101,-0.05968787401574803,-0.07839929921259842,-0.04183536220472441,-0.08211727734375,-0.03963131048062015,3.8874167613158004e-10,fga_per_game+efg_pct+three_pt_pct+minutes_per_game,-,2224
EL_to_NBA,+ minutes,three_pt_pct,108,77,-8.48624060150376,0.26514814814814824,-7.593574074074072,-10.097154629629632,-5.17876342592593,-10.598357173875279,-4.868431872686306,2.602077535953801e-08,fga_per_game+efg_pct+three_pt_pct+minutes_per_game,-,2224
EL_to_NBA,+ minutes,fga_per_game,46,41,-2.989548872180451,-0.9873913043478261,-2.963478260869566,-3.838048913043478,-2.101934782608696,-3.9336818484042553,-2.0096965800636277,8.289850939036114e-08,fga_per_game+efg_pct+three_pt_pct+minutes_per_game,-,2224
EL_to_NBA,+ minutes + exact position,efg_pct,131,88,-0.06754661654135337,-0.008967022900763361,-0.05633984732824427,-0.07277303435114503,-0.04040195038167938,-0.07520196709374999,-0.039161699555403544,4.593592606304365e-10,fga_per_game+efg_pct+three_pt_pct+minutes_per_game,-,2224
EL_to_NBA,+ minutes + exact position,three_pt_pct,102,75,-8.48624060150376,-0.40219607843137256,-8.282803921568625,-11.085885784313724,-5.62341323529412,-11.49031985794318,-5.423133101851852,3.207821071353085e-08,fga_per_game+efg_pct+three_pt_pct+minutes_per_game,-,2224
EL_to_NBA,+ minutes + exact position,fga_per_game,43,39,-2.989548872180451,-0.5455813953488372,-2.1134883720930233,-2.8546918604651164,-1.327162790697675,-2.904424237804878,-1.3368677083333336,2.83056419903005e-06,fga_per_game+efg_pct+three_pt_pct+minutes_per_game,-,2224
EL_to_NBA,+ minutes + age + experience,efg_pct,131,87,-0.06754661654135337,-0.006828854961832062,-0.06206274809160305,-0.08121883969465647,-0.04528588167938932,-0.08250651937984495,-0.04316884949813257,1.3355764502822457e-10,fga_per_game+efg_pct+three_pt_pct+minutes_per_game+age+experience,-,2224
EL_to_NBA,+ minutes + age + experience,three_pt_pct,115,82,-8.48624060150376,-0.3067652173913044,-7.322452173913042,-10.021036086956524,-4.807386956521738,-10.376976818181816,-4.3892441233072015,1.0553289186383644e-06,fga_per_game+efg_pct+three_pt_pct+minutes_per_game+age+experience,-,2224
EL_to_NBA,+ minutes + age + experience,fga_per_game,49,45,-2.989548872180451,-0.6220408163265307,-3.0855102040816327,-4.112500000000001,-2.068566326530612,-4.158326002454992,-2.0380531914893623,2.7203373775819273e-08,fga_per_game+efg_pct+three_pt_pct+minutes_per_game+age+experience,-,2224
