direction,control_sampling,outcome,n_episodes,n_players,migrant_delta,control_delta,DiD,ci_lo,ci_hi,ci_lo_clustered,ci_hi_clustered,wilcoxon_p,covariates_used,covariates_dropped,control_pool_n
EL_to_NBA,with replacement (paper),efg_pct,128,87,-0.06754661654135337,-0.005236406250000001,-0.06348703125,-0.08318699218749999,-0.04550539843750001,-0.08634295269291341,-0.04299155078125,2.981857394169638e-10,fga_per_game+efg_pct+three_pt_pct,-,2224
EL_to_NBA,with replacement (paper),three_pt_pct,110,79,-8.48624060150376,0.4268909090909092,-7.811072727272727,-10.376532272727271,-5.328729545454547,-10.908564747474749,-4.8067018190921225,1.1799702552640241e-07,fga_per_game+efg_pct+three_pt_pct,-,2224
EL_to_NBA,with replacement (paper),fga_per_game,47,39,-2.989548872180451,-0.8119148936170212,-2.8748936170212773,-3.7710638297872334,-2.0300000000000002,-3.938162071078432,-1.9003888519503551,8.580528287893685e-09,fga_per_game+efg_pct+three_pt_pct,-,2224
EL_to_NBA,without replacement,efg_pct,129,87,-0.06754661654135337,-0.005407906976744185,-0.06323937984496122,-0.0813037480620155,-0.046337643410852745,-0.08434687322533671,-0.04357288824025036,4.610054413726017e-11,fga_per_game+efg_pct+three_pt_pct,-,2224
EL_to_NBA,without replacement,three_pt_pct,108,77,-8.48624060150376,-0.23462962962962963,-7.1725,-9.615371296296296,-4.800361111111112,-10.224902922077924,-4.336152402613515,1.436469250958243e-08,fga_per_game+efg_pct+three_pt_pct,-,2224
EL_to_NBA,without replacement,fga_per_game,46,39,-2.989548872180451,-0.667391304347826,-3.6065217391304354,-4.542222826086957,-2.69279347826087,-4.654876078431372,-2.5761822916666675,5.466935557437076e-08,fga_per_game+efg_pct+three_pt_pct,-,2224
NBA_to_EL,with replacement (paper),efg_pct,216,146,0.04792037037037037,0.024687085201793725,0.02396601851851852,0.006708564814814814,0.040490805555555544,0.005523342995953171,0.04163318197674418,5.706933453878927e-05,fga_per_game+efg_pct+three_pt_pct,-,6183
NBA_to_EL,with replacement (paper),three_pt_pct,170,113,7.440352941176472,2.1509417040358745,6.079882352941176,3.7111720588235286,8.604169117647057,3.510680567757522,8.85987185529427,7.959047516419606e-07,fga_per_game+efg_pct+three_pt_pct,-,6183
NBA_to_EL,with replacement (paper),fga_per_game,101,66,2.9001980198019806,0.5453901345291479,2.4607722772277225,1.8954495049504951,2.999963366336633,1.8117275990099009,3.1267922772277226,7.846000896809153e-12,fga_per_game+efg_pct+three_pt_pct,-,6183
NBA_to_EL,without replacement,efg_pct,216,146,0.04792037037037037,0.016989417040358747,0.03105638888888889,0.013422486111111109,0.04770332407407406,0.01274743734641039,0.04840717826113558,2.1702870257555585e-06,fga_per_game+efg_pct+three_pt_pct,-,6183
NBA_to_EL,without replacement,three_pt_pct,170,113,7.440352941176472,1.892556053811659,6.447176470588235,4.076241176470589,8.93050588235294,3.900336339285715,9.064974109516216,4.8043503424789935e-08,fga_per_game+efg_pct+three_pt_pct,-,6183
NBA_to_EL,without replacement,fga_per_game,101,66,2.9001980198019806,0.5004484304932735,2.4344158415841584,1.8717950495049507,2.9672346534653466,1.7944915404040405,3.0940029702970295,9.933971399610273e-12,fga_per_game+efg_pct+three_pt_pct,-,6183
