spec,group,metric,n,n_players,mean_delta,ci_lo,ci_hi,wilcoxon_p
harmonised,all episodes (iid bootstrap),efg,31,11,-0.022632643198224504,-0.0489116322546419,0.003785630550659352,0.1756664952263236
harmonised,all episodes (iid bootstrap),pps,31,11,-0.04526528639644901,-0.0978232645092838,0.007571261101318704,0.1756664952263236
harmonised,all episodes (iid bootstrap),sxsv,31,11,-0.009175735263925395,-0.031196536618444726,0.01108999572488043,0.529405927285552
harmonised,all episodes (iid bootstrap),smoe,31,11,-0.015141174152113525,-0.03544535489964299,0.004494980362764832,0.3271495960652828
harmonised,all episodes (player-clustered bootstrap),efg,31,11,-0.022632643198224504,-0.05068064121079873,0.005799233689355558,0.1756664952263236
harmonised,all episodes (player-clustered bootstrap),pps,31,11,-0.04526528639644901,-0.10136128242159746,0.011598467378711116,0.1756664952263236
harmonised,all episodes (player-clustered bootstrap),sxsv,31,11,-0.009175735263925395,-0.03616011597883968,0.017091176378593195,0.529405927285552
harmonised,all episodes (player-clustered bootstrap),smoe,31,11,-0.015141174152113525,-0.035204508507413475,0.0035308678724621095,0.3271495960652828
harmonised,one episode per player (first),efg,11,11,-0.058751816688273145,-0.0979166112664395,-0.014356079997731055,0.0537109375
harmonised,one episode per player (first),pps,11,11,-0.11750363337654629,-0.195833222532879,-0.02871215999546211,0.0537109375
harmonised,one episode per player (first),sxsv,11,11,-0.026867529155402015,-0.06893230738849682,0.009968507218749808,0.2783203125
harmonised,one episode per player (first),smoe,11,11,-0.03650325582745335,-0.06592486564241748,-0.010085593219110001,0.0322265625
harmonised,one episode per player (random),efg,11,11,-0.03458689299072504,-0.07775385853365548,0.009500468561330784,0.2783203125
harmonised,one episode per player (random),pps,11,11,-0.06917378598145008,-0.15550771706731095,0.019000937122661567,0.2783203125
harmonised,one episode per player (random),sxsv,11,11,-0.014239262365782353,-0.04115589746505639,0.011333840585397686,0.4130859375
harmonised,one episode per player (random),smoe,11,11,-0.01860174132577647,-0.056243568600694856,0.018728052230492818,0.46484375
league_specific,all episodes (iid bootstrap),efg,31,11,-0.022632643198224504,-0.0489116322546419,0.003785630550659352,0.1756664952263236
league_specific,all episodes (iid bootstrap),pps,31,11,-0.04526528639644901,-0.0978232645092838,0.007571261101318704,0.1756664952263236
league_specific,all episodes (iid bootstrap),sxsv,31,11,-0.010210644921642522,-0.035291020332813706,0.01567184070157422,0.31757172010838985
league_specific,all episodes (iid bootstrap),smoe,31,11,-0.014795402139592937,-0.03525465835282987,0.005023572466364829,0.26389263197779655
league_specific,all episodes (player-clustered bootstrap),efg,31,11,-0.022632643198224504,-0.05068064121079873,0.005799233689355558,0.1756664952263236
league_specific,all episodes (player-clustered bootstrap),pps,31,11,-0.04526528639644901,-0.10136128242159746,0.011598467378711116,0.1756664952263236
league_specific,all episodes (player-clustered bootstrap),sxsv,31,11,-0.010210644921642522,-0.038207337656910756,0.02036800954900097,0.31757172010838985
league_specific,all episodes (player-clustered bootstrap),smoe,31,11,-0.014795402139592937,-0.03541919637992581,0.004721646640576104,0.26389263197779655
league_specific,one episode per player (first),efg,11,11,-0.058751816688273145,-0.0979166112664395,-0.014356079997731055,0.0537109375
league_specific,one episode per player (first),pps,11,11,-0.11750363337654629,-0.195833222532879,-0.02871215999546211,0.0537109375
league_specific,one episode per player (first),sxsv,11,11,-0.03221239146314312,-0.07230098146223199,0.01510068229114131,0.1748046875
league_specific,one episode per player (first),smoe,11,11,-0.0351117381598452,-0.061001766050901164,-0.011400621778933593,0.0185546875
league_specific,one episode per player (random),efg,11,11,-0.03458689299072504,-0.07775385853365548,0.009500468561330784,0.2783203125
league_specific,one episode per player (random),pps,11,11,-0.06917378598145008,-0.15550771706731095,0.019000937122661567,0.2783203125
league_specific,one episode per player (random),sxsv,11,11,-0.03797840570352335,-0.07465781338401842,7.1679687006134155e-06,0.0673828125
league_specific,one episode per player (random),smoe,11,11,-0.009266858004054933,-0.04733084974343117,0.028948848677561593,0.5771484375
