spec,group,metric,n,n_players,mean_delta,ci_lo,ci_hi,wilcoxon_p
harmonised,direct (gap = 0),efg,18,11,-0.008064834189524231,-0.04754085626887966,0.029260262977915365,0.8985748291015625
harmonised,direct (gap = 0),pps,18,11,-0.016129668379048463,-0.09508171253775932,0.05852052595583073,0.8985748291015625
harmonised,direct (gap = 0),sxsv,18,11,0.0018846469344098418,-0.021473011193273547,0.02494115580360616,1.0
harmonised,direct (gap = 0),smoe,18,11,-0.008068333942645688,-0.03836398167101782,0.020343522058721728,0.932281494140625
harmonised,direct (gap = 0),three_rate,18,11,-0.04553718375168552,-0.13376601213032274,0.038150697464216746,0.44229888916015625
harmonised,direct (gap = 0),mean_dist,18,11,-0.29152802359597974,-0.7194200196223275,0.13112659422761674,0.2645263671875
harmonised,direct (gap = 0),pps_over_sxsv,18,11,-0.018014315313458304,-0.0946078760756852,0.053163740498924444,1.0
harmonised,one-season gap (gap = 1),efg,13,9,-0.04280345567180948,-0.07599404570570077,-0.01209114948922296,0.03271484375
harmonised,one-season gap (gap = 1),pps,13,9,-0.08560691134361896,-0.15198809141140154,-0.02418229897844592,0.03271484375
harmonised,one-season gap (gap = 1),sxsv,13,9,-0.02449011061546649,-0.06200208489695192,0.010014871101100256,0.305419921875
harmonised,one-season gap (gap = 1),smoe,13,9,-0.024934337519069004,-0.05097272408998283,-0.002984741092785889,0.080322265625
harmonised,one-season gap (gap = 1),three_rate,13,9,0.006223525010952052,-0.09757299683623157,0.09695803935172252,0.587890625
harmonised,one-season gap (gap = 1),mean_dist,13,9,0.18105068012792339,-0.4417069287160724,0.721458845138886,0.375732421875
harmonised,one-season gap (gap = 1),pps_over_sxsv,13,9,-0.061116800728152475,-0.12582834687645533,-0.008614769318349091,0.080322265625
league_specific,direct (gap = 0),efg,18,11,-0.008064834189524231,-0.04754085626887966,0.029260262977915365,0.8985748291015625
league_specific,direct (gap = 0),pps,18,11,-0.016129668379048463,-0.09508171253775932,0.05852052595583073,0.8985748291015625
league_specific,direct (gap = 0),sxsv,18,11,0.0035721692763704526,-0.02732222165610092,0.03616622912079333,0.6396942138671875
league_specific,direct (gap = 0),smoe,18,11,-0.008641403156250092,-0.039180974943506745,0.01998422508463725,1.0
league_specific,direct (gap = 0),three_rate,18,11,-0.04553718375168552,-0.13376601213032274,0.038150697464216746,0.44229888916015625
league_specific,direct (gap = 0),mean_dist,18,11,-0.29152802359597974,-0.7194200196223275,0.13112659422761674,0.2645263671875
league_specific,direct (gap = 0),pps_over_sxsv,18,11,-0.019701837655418917,-0.09555118397373219,0.04994588299370055,0.8985748291015625
league_specific,one-season gap (gap = 1),efg,13,9,-0.04280345567180948,-0.07599404570570077,-0.01209114948922296,0.03271484375
league_specific,one-season gap (gap = 1),pps,13,9,-0.08560691134361896,-0.15198809141140154,-0.02418229897844592,0.03271484375
league_specific,one-season gap (gap = 1),sxsv,13,9,-0.02929454150350664,-0.06811965893492271,0.011193795375608514,0.21630859375
league_specific,one-season gap (gap = 1),smoe,13,9,-0.023316323808836883,-0.04903365982204387,0.001105044018617111,0.080322265625
league_specific,one-season gap (gap = 1),three_rate,13,9,0.006223525010952052,-0.09757299683623157,0.09695803935172252,0.587890625
league_specific,one-season gap (gap = 1),mean_dist,13,9,0.18105068012792339,-0.4417069287160724,0.721458845138886,0.375732421875
league_specific,one-season gap (gap = 1),pps_over_sxsv,13,9,-0.05631236984011233,-0.11711839715786743,0.001679922414498284,0.10986328125
