sample,variable,n,n_players,mean_pre,mean_post,mean_delta,ci_lo,ci_hi,ci_lo_clustered,ci_hi_clustered,wilcoxon_p
"box-score, direct (gap = 0)",minutes_per_game,179,136,15.956465218978101,17.890246906779662,0.5703173184357545,-1.2982436675977655,2.4492177849162005,-0.9312891398351648,2.1130168858261666,0.4993155556581583
"box-score, direct (gap = 0)",fga_per_game,179,136,5.052518248175183,5.717330508474576,0.19882681564245805,-0.5177122905027933,0.9205293296089374,-0.39583430913348944,0.7878020606241599,0.5573133237602137
"box-score, direct (gap = 0)",fga_per_min,179,136,0.31220056292908493,0.31493729306051016,0.004533009670137603,-0.010772693977667705,0.019236557839777846,-0.009507360298423964,0.0183153004567675,0.7765889626490814
"box-score, direct (gap = 0)",usage_proxy_per_min,179,136,0.4139632271872799,0.4188235525799862,0.00842465088137519,-0.010289950864747398,0.02697586937512679,-0.00858188591808322,0.025452678223095666,0.5683963677830186
"box-score, direct (gap = 0)",points_per_game,179,136,6.1981386861313865,7.1117372881355925,0.24821229050279325,-0.8355069832402235,1.334695530726256,-0.629518675796403,1.1381241729357368,0.6212554115093611
"box-score, direct (gap = 0)",efg_pct,323,217,0.4700716463414634,0.48774938650306754,0.01798482972136223,-0.0007198529411764721,0.03648456656346749,0.001397454087064534,0.03405595260209346,0.05347467899924207
"box-score, one-season gap (gap = 1)",minutes_per_game,148,124,15.450266548672566,19.059007055555558,2.4137907432432426,0.5531673868243248,4.286401648648648,0.5308627272549021,4.289177099245689,0.01922426921121728
"box-score, one-season gap (gap = 1)",fga_per_game,148,124,4.827920353982301,6.107833333333333,0.8848648648648649,0.1418766891891892,1.64170777027027,0.17253898539281498,1.618260726683638,0.025234692964800402
"box-score, one-season gap (gap = 1)",fga_per_min,148,124,0.3097139887439537,0.31707802581698347,0.007909871919636775,-0.00631946323195156,0.02280193937730386,-0.005659794915696168,0.0220659971507281,0.7521127944733198
"box-score, one-season gap (gap = 1)",usage_proxy_per_min,148,124,0.4167844999382699,0.42679524639616395,0.010366109980336775,-0.005943393516323114,0.028151719888416072,-0.005616092011077569,0.0268391490563059,0.33946584998099794
"box-score, one-season gap (gap = 1)",points_per_game,148,124,5.9248230088495575,7.772444444444444,1.2168243243243244,0.1416537162162161,2.292564189189188,0.19382570921985795,2.2544396288411694,0.029373122496547093
"box-score, one-season gap (gap = 1)",efg_pct,252,211,0.471557421875,0.5060685039370079,0.033263492063492064,0.01551029761904762,0.051314107142857134,0.015867422845255837,0.05142892311037318,0.001796484053484849
