direction,transition,outcome,n_episodes,n_players,migrant_delta,control_delta,DiD,ci_lo,ci_hi,ci_lo_clustered,ci_hi_clustered,wilcoxon_p,covariates_used,covariates_dropped,control_pool_n
EL_to_NBA,direct (gap = 0),efg_pct,80,80,-0.08118888888888888,-0.007420000000000003,-0.07420125,-0.10132309999999999,-0.04963745625000001,-0.10132309999999999,-0.04963745625000001,1.2535606130107668e-07,fga_per_game+efg_pct+three_pt_pct,-,2224
EL_to_NBA,direct (gap = 0),three_pt_pct,71,71,-9.11395061728395,0.5251549295774648,-8.318816901408452,-11.80806408450704,-4.935380281690142,-11.80806408450704,-4.935380281690142,7.338167112350739e-05,fga_per_game+efg_pct+three_pt_pct,-,2224
EL_to_NBA,direct (gap = 0),fga_per_game,30,30,-3.3088888888888888,-0.9953333333333333,-2.433333333333333,-3.5739999999999994,-1.343983333333334,-3.5739999999999994,-1.343983333333334,9.90256667137146e-05,fga_per_game+efg_pct+three_pt_pct,-,2224
EL_to_NBA,one-season gap (gap = 1),efg_pct,48,48,-0.04629615384615385,-0.0015970833333333316,-0.04563,-0.06895359374999999,-0.02308434375000001,-0.06895359374999999,-0.02308434375000001,0.00043737064628146527,fga_per_game+efg_pct+three_pt_pct,-,2224
EL_to_NBA,one-season gap (gap = 1),three_pt_pct,39,39,-7.50846153846154,0.24800000000000016,-6.886717948717949,-10.63114487179487,-3.3084884615384644,-10.63114487179487,-3.3084884615384644,0.00014731190822203644,fga_per_game+efg_pct+three_pt_pct,-,2224
EL_to_NBA,one-season gap (gap = 1),fga_per_game,17,17,-2.4921153846153845,-0.4882352941176469,-3.6541176470588232,-5.03825,-2.4169852941176484,-5.03825,-2.4169852941176484,1.52587890625e-05,fga_per_game+efg_pct+three_pt_pct,-,2224
NBA_to_EL,direct (gap = 0),efg_pct,124,115,0.05238225806451612,0.027049843750000004,0.024975322580645158,0.0008438387096774183,0.04689691532258064,0.0003903620495867745,0.04609155606451612,0.00044209449739806287,fga_per_game+efg_pct+three_pt_pct,-,6183
NBA_to_EL,direct (gap = 0),three_pt_pct,100,91,7.847799999999999,2.80140625,6.216600000000001,3.1359825000000003,9.530785,3.147640833333334,9.768185124440274,5.750054383821223e-05,fga_per_game+efg_pct+three_pt_pct,-,6183
NBA_to_EL,direct (gap = 0),fga_per_game,55,54,3.300363636363636,0.61890625,2.7548363636363633,2.1015209090909095,3.435023636363636,2.1040657407407406,3.4326775252525237,1.1024082733676395e-08,fga_per_game+efg_pct+three_pt_pct,-,6183
NBA_to_EL,one-season gap (gap = 1),efg_pct,92,91,0.04190652173913044,0.021503578947368426,0.022605652173913037,-0.00103758695652175,0.0452207228260869,-0.0007123102918586778,0.04640604532967032,0.038672111657791726,fga_per_game+efg_pct+three_pt_pct,-,6183
NBA_to_EL,one-season gap (gap = 1),three_pt_pct,70,69,6.858285714285714,1.274526315789474,5.884571428571429,2.2968571428571427,9.524392857142857,2.330725760359257,9.669374004898955,0.0034003538440526694,fga_per_game+efg_pct+three_pt_pct,-,6183
NBA_to_EL,one-season gap (gap = 1),fga_per_game,46,45,2.421739130434783,0.4463368421052631,2.109173913043478,1.238166304347826,2.961260869565216,1.2786667375886525,2.9468402173913035,4.040029929797129e-05,fga_per_game+efg_pct+three_pt_pct,-,6183
