spec,league,bin,n,pred_mean,obs_rate
harmonised,NBA,0,334247,0.32875723943369606,0.3293492536956203
harmonised,NBA,1,334245,0.35595244774419516,0.3557091355143682
harmonised,NBA,2,334246,0.36818097097572444,0.3671367794977352
harmonised,NBA,3,334229,0.38707377180436564,0.38657028564247864
harmonised,NBA,4,334266,0.3958822225930372,0.39460190387296346
harmonised,NBA,5,334236,0.3998797955105677,0.3995948970188729
harmonised,NBA,6,334241,0.4071137622195092,0.4079122549298261
harmonised,NBA,7,334265,0.42248193362356234,0.4229877492408718
harmonised,NBA,8,334194,0.4581090321833269,0.46136375877484337
harmonised,NBA,9,300579,0.5698862780165626,0.5679372145093303
harmonised,NBA,10,367793,0.6369551878376699,0.6340903714861349
harmonised,NBA,11,334436,0.7532289203711112,0.7566111303807006
harmonised,EuroLeague,0,45028,0.29395800079413825,0.2937505552100915
harmonised,EuroLeague,1,45030,0.3454141982555841,0.3447035309793471
harmonised,EuroLeague,2,45034,0.36144613294477906,0.3571301683172714
harmonised,EuroLeague,3,45032,0.3738836878936072,0.3762435601350151
harmonised,EuroLeague,4,45046,0.38254991924717036,0.3795897526972428
harmonised,EuroLeague,5,45037,0.3906058568436574,0.3945866731798299
harmonised,EuroLeague,6,45031,0.39755197465558045,0.3985476671626213
harmonised,EuroLeague,7,45028,0.4100819072431563,0.40861241893932665
harmonised,EuroLeague,8,45036,0.44276338008418054,0.44315658584243717
harmonised,EuroLeague,9,45037,0.5273696810294063,0.5292315207496059
harmonised,EuroLeague,10,44980,0.6638060937545306,0.6630947087594486
harmonised,EuroLeague,11,45096,0.8487631084577839,0.8495210218201171
league_specific,NBA,0,334239,0.32459851867374445,0.32352298804149127
league_specific,NBA,1,334230,0.3569774014768978,0.35784639320228584
league_specific,NBA,2,334060,0.36952948186712575,0.3688469137280728
league_specific,NBA,3,334389,0.3851898061461343,0.3835891730888277
league_specific,NBA,4,334269,0.3958582136140405,0.39550481797594156
league_specific,NBA,5,334253,0.4018483823611569,0.4009597520441103
league_specific,NBA,6,334295,0.40838997108865377,0.41030526929807504
league_specific,NBA,7,333955,0.42273014431626355,0.42227246185863365
league_specific,NBA,8,334516,0.45797992022405265,0.4623545659998326
league_specific,NBA,9,326944,0.5710743469993266,0.5685469071155916
league_specific,NBA,10,341480,0.6416195447478872,0.6389276092304088
league_specific,NBA,11,334347,0.7525823980710196,0.756319033818159
league_specific,EuroLeague,0,45024,0.27553470083756093,0.2758306680881308
league_specific,EuroLeague,1,45045,0.32540198660432484,0.32551892551892553
league_specific,EuroLeague,2,45034,0.3415761760589945,0.3373229115779189
league_specific,EuroLeague,3,45032,0.3523862227323552,0.35095043524604724
league_specific,EuroLeague,4,45034,0.36009103602081594,0.35903983656792643
league_specific,EuroLeague,5,45032,0.3675859438855259,0.36938177296144964
league_specific,EuroLeague,6,45036,0.3778067484534104,0.38176125766053826
league_specific,EuroLeague,7,45029,0.3888667196592257,0.38672855271047546
league_specific,EuroLeague,8,45024,0.4142478696821499,0.4173773987206823
league_specific,EuroLeague,9,45012,0.4972529324855209,0.49415711365857995
league_specific,EuroLeague,10,45033,0.7388465436327285,0.7405236160149223
league_specific,EuroLeague,11,45080,0.9986672572211444,0.9993345164152617
